chr	start	end	startCpG	endCpG	target	name	direction	Adipocytes	Bladder-Ep	Blood-B	Blood-Granul	Blood-Mono+Macro	Blood-NK	Blood-T	Bone-Osteob	Breast-Basal-Ep	Breast-Luminal-Ep	Colon-Ep	Colon-Fibro	Dermal-Fibro	Endothel	Epid-Kerat	Eryth-prog	Fallopian-Ep	Gallbladder	Gastric-Ep	Head-Neck-Ep	Heart-Cardio	Heart-Fibro	Kidney-Ep	Liver-Hep	Lung-Ep-Alveo	Lung-Ep-Bron	Neuron	Oligodend	Ovary-Ep	Pancreas-Acinar	Pancreas-Alpha	Pancreas-Beta	Pancreas-Delta	Pancreas-Duct	Megakaryocytes	Prostate-Ep	Skeletal-Musc	Small-Int-Ep	Smooth-Musc	Thyroid-Ep
chr1	185606	185761	2174	2180	Gallbladder	chr1:185606-185761	U	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.009	0.009	0.009	0.0	0.003	0.0	0.032	0.0	0.947	0.0	0.0	0.006	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.049	0.012	0.0
chr1	981709	981807	12952	12960	Skeletal-Musc	chr1:981709-981807	U	0.04	0.064	0.0	0.009	0.007	0.01	0.014	0.067	0.0	0.0	0.117	0.01	0.025	0.014	0.0	0.155	0.0	0.026	0.009	0.03	0.066	0.007	0.287	0.027	0.011	0.0	0.006	0.008	0.024	0.08	0.063	0.0	0.049	0.0	0.0	0.0	0.565	0.054	0.031	0.017
chr1	1003660	1003750	13886	13894	Epid-Kerat	chr1:1003660-1003750	U	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.769	0.122	0.0	0.0	0.0	0.071	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.02	0.0	0.0	0.0	0.0	0.006	0.0	0.0
chr1	1110257	1110409	18265	18270	Colon-Ep	chr1:1110257-1110409	U	0.0	0.102	0.0	0.011	0.0	0.012	0.004	0.0	0.0	0.0	0.963	0.0	0.0	0.006	0.0	0.168	0.0	0.0	0.225	0.0	0.0	0.014	0.115	0.0	0.0	0.0	0.019	0.0	0.043	0.019	0.047	0.051	0.025	0.0	0.0	0.022	0.0	0.156	0.05	0.013
chr1	1160442	1160800	20290	20304	Colon-Ep	chr1:1160442-1160800	U	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.764	0.0	0.0	0.0	0.0	0.052	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019	0.03	0.0
chr1	1262136	1262432	24569	24584	Eryth-prog	chr1:1262136-1262432	U	0.0	0.0	0.0	0.0	0.001	0.0	0.002	0.0	0.027	0.0	0.004	0.013	0.0	0.001	0.013	0.946	0.0	0.0	0.0	0.002	0.0	0.0	0.002	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
chr1	1278933	1279008	25117	25122	Small-Int-Ep	chr1:1278933-1279008	U	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.062	0.025	0.0	0.002	0.0	0.055	0.0	0.0	0.0	0.005	0.0	0.0	0.018	0.005	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.648	0.0	0.0
chr1	1456904	1457007	32462	32467	Liver-Hep	chr1:1456904-1457007	U	0.012	0.0	0.0	0.031	0.0	0.0	0.005	0.0	0.0	0.0	0.013	0.0	0.0	0.01	0.0	0.154	0.0	0.0	0.0	0.013	0.011	0.0	0.014	0.911	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.043	0.0	0.014
chr1	1556170	1556571	36445	36459	Thyroid-Ep	chr1:1556170-1556571	U	0.004	0.026	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.014	0.005	0.0	0.0	0.002	0.004	0.004	0.002	0.0	0.0	0.004	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021	0.873
chr1	1556675	1556995	36460	36466	Thyroid-Ep	chr1:1556675-1556995	U	0.0	0.022	0.045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.187	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.056	0.976
